Nom,Categorie,Nutriscore,Novascore,Ecoscore,Taux de sel (100g),Taux de matieres grasses (100g),Taux de matieres grasses saturees (100g),Taux de proteine (100g),Taux de sucre (100g),Energie (Kcal) (100g)
Petits pains grillés au froment,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,82,1,7.8,0.7,9.5,8.6,407
Das Pausenbrot,en:plant-based-foods-and-beverages,c,unknown,74,1.2,4.5,0.6,9.5,5,225
N/A,en:plant-based-foods-and-beverages,unknown,unknown,70,N/A,N/A,N/A,N/A,N/A,N/A
Bagel classique (lean brioche),en:plant-based-foods-and-beverages,b,unknown,75,1.1,5.7,1,9.4,2.2,297
"L'ancestrale, baguette",fr:pains-de-tradition-francaise,b,en:4-ultra-processed-food-and-drink-products,100,1.5,0.8,0.2,13,1.8,340
Nutrifree Panfette,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,N/A,1.62,5.4,1.5,4.1,2.7,219
Panfette,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,68,1.7,5.5,1.6,3,2.9,229
Mini-Brötchen zum Aufbacken - Röstzwiebeln,en:plant-based-foods-and-beverages,c,en:3-processed-foods,N/A,1.4,5.6,1.9,8.6,3.3,273
Croutons grillés aux 7 céréales,en:plant-based-foods-and-beverages,d,unknown,N/A,1.8,10.8,4.6,12.1,3.6,433
Pain AMS complet,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,85,1.2,4.5,0.4,7.7,4.9,253
Petits pains grilles,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,72,1.4,5.9,0.5,11,4.3,384
Gressins Farine de Caroube & graines de sésame,en:plant-based-foods-and-beverages,d,unknown,94,1.08,25,7,10.8,3.9,481
Gressins Multi-Céréales,en:plant-based-foods-and-beverages,d,unknown,94,1.8,28.3,6.6,12.9,4.6,501
Gressins farine de blé et de seigle,en:plant-based-foods-and-beverages,d,unknown,94,1.7,7.4,2.6,11.4,5.2,403
Gressins graines de sésames,en:plant-based-foods-and-beverages,d,unknown,94,1.34,19.2,4.4,14.5,4.4,459
Gressins a l’huile d’olive bio,en:plant-based-foods-and-beverages,unknown,unknown,94,N/A,1.8,0.3,14.5,3.1,354
Japanese Chicken Flavor,en:plant-based-foods-and-beverages,unknown,en:4-ultra-processed-food-and-drink-products,33,0.9,2.5,1.2,1.4,0.3,69
"Demae ramen, sésame",en:plant-based-foods-and-beverages,unknown,en:4-ultra-processed-food-and-drink-products,52,1.1,4,2,2,0.5,91
Pennette Rigate,en:plant-based-foods-and-beverages,a,unknown,N/A,0.015,1.7,0.4,13,2.7,355
Barilla pates penne rigate 500g+200g offert,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,N/A,0.01,2,0.5,13,3.5,359
Pasta Quills,en:plant-based-foods-and-beverages,unknown,unknown,N/A,N/A,1.47,0.4,13.2,2.53,400
