Nom,Categorie,Nutriscore,Novascore,Ecoscore,Taux de sel (100g),Taux de matieres grasses (100g),Taux de matieres grasses saturees (100g),Taux de proteine (100g),Taux de sucre (100g),Energie (Kcal) (100g)
Rillettes de bar sauvage a la fleur de sel,en:seafood,d,en:4-ultra-processed-food-and-drink-products,40,1,12,7.4,14,0,166
Sardines à la tomate,en:seafood,c,en:3-processed-foods,18,1.2,7.4,3.1,17,1.3,148
Merlan pané,en:seafood,a,en:4-ultra-processed-food-and-drink-products,-6,0.68,8,0.8,12,0.5,193
Ferrigno Anchois du Pescadou,en:seafood,c,unknown,57,0.85,8.4,3.1,26,0.5,182
Sardines,en:seafood,c,unknown,64,0.85,12.9,3.3,26.4,0,222
Sardines,en:seafood,c,unknown,64,0.8,12.9,3.33,26.4,0.01,222
Thon a l'huile d'olive,en:seafood,a,unknown,16,0.33000001311302,14,0.5,26,0.5,231
Thon,en:seafood,a,unknown,21,0.7,1,0.4,26.4,0,115
Marinated Herring in mushroom sauce,en:seafood,d,en:4-ultra-processed-food-and-drink-products,56,1.8,28.9,4.2,3.9,5,300
Acras de Morue,en:seafood,d,unknown,3,2.1,6,0.8,9,3.6,207
Rillettes de thon aux poivrons grillés,en:seafood,d,unknown,40,0.43,17,11,14,2.2,228
ProActiv Margarine Tartine,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,62,0.2,35,7.6,0.5,0.5,314
Crème de noisette,fr:pates-a-tartiner,d,en:4-ultra-processed-food-and-drink-products,44,0.03,18,1.5,5.6,31,327
Terrine d'olives,en:plant-based-foods-and-beverages,d,en:4-ultra-processed-food-and-drink-products,N/A,1.2,17,11,4.5,0.5,218
Beurre d'arachide crémeux,en:plant-based-foods-and-beverages,d,unknown,35,0.58333333333332,46.666666666667,10,20,6.6666666666667,600
Beurre d'arachide,en:plant-based-foods-and-beverages,d,en:4-ultra-processed-food-and-drink-products,40,0.917,53.3,6.67,20,6.67,600
Fraise de plougastel,en:plant-based-foods-and-beverages,c,unknown,60,1,0,0,0.4,0,N/A
Mini confiture pomme façon tatin,en:plant-based-foods-and-beverages,unknown,en:3-processed-foods,70,1,N/A,0.25,0.3,N/A,N/A
Palets au Caramel au beurre salé,en:snacks,e,en:4-ultra-processed-food-and-drink-products,55,0.5,13,10,5,34,386
Biscuits fourrés aux framboises,en:snacks,d,en:4-ultra-processed-food-and-drink-products,70,0.5,18,4.1,5.3,39,461
Les P'tits curieux barquettes aux fraises,fr:barquettes,d,en:4-ultra-processed-food-and-drink-products,78,0.42,4.2,0.7,5.8,53,351
Jus de fruits saveur fruits exotiques,en:beverages-and-beverages-preparations,d,en:4-ultra-processed-food-and-drink-products,68,0,0,0,0,4.7,19
Boisson aux fruits Fruits rouges,en:plant-based-foods-and-beverages,e,en:4-ultra-processed-food-and-drink-products,49,0.025,0.1,0.1,0.2,10.5,N/A
Jus de betteraves pommes mangue et carottes,en:plant-based-foods-and-beverages,e,unknown,44,0,0,0,0,9.9,44
Nectar de peche,en:plant-based-foods-and-beverages,e,unknown,18,0,0.2,0.1,0.5,11.6,51
Défense,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,25,0.1,0.7,0.5,0,10,57
Nectar Pomme,en:plant-based-foods-and-beverages,e,en:3-processed-foods,52,0.03,0.1,0.1,0.6,10.2,46
Lime plus,en:plant-based-foods-and-beverages,b,en:1-unprocessed-or-minimally-processed-foods,68,0,0.1,0,0.5,1.6,40
Jus de citron,en:plant-based-foods-and-beverages,unknown,en:1-unprocessed-or-minimally-processed-foods,36,N/A,0.1,0,0.1,1.5,21
Jus d'oranges pressées 100%,en:plant-based-foods-and-beverages,c,unknown,63,0,0.15,0,0.9,11.8,57
Pur jus de pommes sans sucres ajoutés,en:plant-based-foods-and-beverages,c,en:1-unprocessed-or-minimally-processed-foods,70,0,0,0,0,11,49
A.C.E,en:plant-based-foods-and-beverages,unknown,unknown,21,N/A,0.5,0,0.5,10,40
